Symbol,Timeframe,RangeStartHour,RangeStartMinute,RangeStartHHMM,RangeDur,StratMode,RRR,RiskPct,MC_Seed,MC_Stress,MC_SpreadMult,MC_SlipPts,MC_DelayMs,MC_FailProb,MC_SignalsTotal,MC_SignalsSkipped,MC_SkipRate,Trades,WinTrades,WinRatePct,NetProfit,GrossProfit,GrossLoss,ProfitFactor,MaxDD_Pct,Sharpe,AvgSpreadPts_Exec,MC_EntryBufferPts_LastSignal,DeviationPts,RangeSizePts_Avg,RangeSizePts_Max,DaysWithRange,MC_SpreadMult_Min,MC_SpreadMult_Max,MC_SlipPts_Min,MC_SlipPts_Max,MC_DelayMs_Min,MC_DelayMs_Max,MC_FailProb_Min,MC_FailProb_Max,EntryFills,SlipFillVsRefPts_Avg,SlipFillVsReqPts_Avg,SlipFillVsRefPts_Max,SlipFillVsReqPts_Max,Profit_Long,Profit_Short,WinRate_Long,WinRate_Short,MaxConsecLosses
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,162,3.00,1.1384,224,1739,0.003970,492,3,0.006098,487,229,47.02,2350.85,22950.79,-20599.94,1.11,12.65,1.88,186.11,251.69,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,224.00,0.00,224.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,332,2.00,1.1712,55,774,0.087994,528,41,0.077652,485,230,47.42,3387.13,24641.98,-21254.85,1.16,13.23,2.58,185.86,89.24,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,55.00,0.00,55.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,334,1.50,1.1206,238,662,0.026146,497,9,0.018109,486,232,47.74,1901.77,21995.95,-20094.18,1.09,12.33,1.55,186.14,262.12,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,238.00,0.00,238.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,336,1.00,1.0693,90,495,0.040867,506,16,0.031621,488,233,47.75,2613.21,23323.87,-20710.66,1.13,12.65,2.05,185.72,103.86,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,90.00,0.00,90.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,328,3.00,1.2708,495,836,0.094253,540,58,0.107407,482,227,47.10,363.59,18124.80,-17761.21,1.02,15.85,0.33,185.70,549.15,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,482,0.00,495.00,0.00,495.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,2,1.50,1.0048,267,665,0.040731,520,32,0.061538,486,234,48.15,2006.81,21627.48,-19620.67,1.10,13.71,1.65,186.08,267.96,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,486,0.00,267.00,0.00,267.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,496,2.50,1.3289,466,80,0.031397,497,12,0.024145,485,230,47.42,786.11,20073.21,-19287.10,1.04,17.25,0.68,186.02,531.78,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,466.00,0.00,466.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,498,2.00,1.2539,235,172,0.078271,525,38,0.072381,485,233,48.04,1829.54,21795.48,-19965.94,1.09,15.26,1.52,186.85,285.78,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,235.00,0.00,235.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,500,1.50,1.1785,73,210,0.018854,494,4,0.008097,488,234,47.95,2999.27,24303.07,-21303.80,1.14,16.42,2.30,186.35,108.70,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,73.00,0.00,73.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,170,1.00,1.0362,200,196,0.045729,510,21,0.041176,488,235,48.16,2462.83,22553.64,-20090.81,1.12,14.04,1.95,186.44,207.24,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,200.00,0.00,200.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,166,2.00,1.0885,274,176,0.097717,550,65,0.118182,483,237,49.07,2577.29,22119.87,-19542.58,1.13,14.97,2.08,186.63,291.70,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,483,0.00,274.00,0.00,274.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,330,2.50,1.2214,240,832,0.041121,508,19,0.037402,487,235,48.25,2959.00,23554.66,-20595.66,1.14,10.10,2.32,185.72,284.28,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,240.00,0.00,240.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,164,2.50,1.1139,15,84,0.050844,514,25,0.048638,487,233,47.84,2137.48,23401.87,-21264.39,1.10,15.70,1.69,185.95,37.77,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,15.00,0.00,15.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,168,1.50,1.0627,103,213,0.033438,503,16,0.031809,485,236,48.66,3058.33,23831.11,-20772.78,1.15,16.66,2.35,186.30,115.54,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,485,0.00,103.00,0.00,103.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,5,1.00,1.0033,175,224,0.037307,506,16,0.031621,488,236,48.36,2694.35,23522.87,-20828.52,1.13,14.88,2.10,186.16,175.66,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,175.00,0.00,175.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,329,3.00,1.2715,92,17,0.067687,514,26,0.050584,487,233,47.84,2332.49,22911.80,-20579.31,1.11,15.59,1.85,185.84,146.30,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,487,0.00,92.00,0.00,92.00,0.00,0.00,0.00,0.00,0
NDX100,PERIOD_H1,15,0,15:00,60,BREAKOUT,2.00,0.10,171,1.00,1.0364,65,523,0.032446,502,12,0.023904,488,232,47.54,2615.82,23423.23,-20807.41,1.13,13.44,2.05,185.80,72.29,250,8132.37,35462.00,510,1.0000,3.0000,0,200,0,600,0.000000,0.050000,488,0.00,65.00,0.00,65.00,0.00,0.00,0.00,0.00,0
